대분류	중분류	소분류
외국어 공부	영어	단어 학습
	영어	시험 공부 (토익/토익스피킹/오픽/토플 등)
	영어	회화 공부
	일본어	단어 학습
	일본어	시험 공부
	일본어	회화 공부
	중국어	단어 학습
	중국어	시험 공부
	중국어	회화 공부
	기타	단어 학습
	기타	시험 공부
	기타	회화 공부
재테크/투자 공부	지출 관리·예산 세우기	지출 점검하기
	지출 관리·예산 세우기	카테고리별 소비 분석
	지출 관리·예산 세우기	고정지출/변동지출 정리
	지출 관리·예산 세우기	한달 예산 세우기
	지출 관리·예산 세우기	카드 소비 패턴 파악
	저축·적금하기	월간 저축 목표 설정
	저축·적금하기	저축 루틴 만들기
	저축·적금하기	적금 시작하기
	저축·적금하기	소비 절약 루틴 만들기
	금융지식 쌓기	금융 상품 종류 익히기(주식/ETF)
	금융지식 쌓기	시장·경제 흐름 읽기 (환율/물가)
	금융지식 쌓기	금융 용어 기본 개념 배우기 (금리/세금)
	투자 시작하기	소액 투자
	투자 시작하기	투자 상품 이해하기
	투자 시작하기	투자금 만들기
	투자 시작하기	나에게 맞는 투자 방향 찾기
체력관리 및 운동	헬스	체력 증진
	헬스	체중 조절
	헬스	근력 키우기
	헬스	체형 교정
	러닝	체력 증진
	러닝	체중 조절
	러닝	스트레스 해소
	러닝	마라톤/러닝대회 준비
	필라테스/요가	체력 증진
	필라테스/요가	체중 조절
	필라테스/요가	근력 키우기
	필라테스/요가	체형 교정
	자전거	체력 증진
	자전거	체중 조절
	자전거	근력 키우기
	자전거	출퇴근·이동 등 교통수단 활용
자격증 공부	직무 전문 분야	(온보딩 시 입력한 개인정보 기반)
	국가자격	전기기능사
	국가자격	소방설비기사
	국가자격	공인회계사
	어학 자격 능력	토익
	어학 자격 능력	토익스피킹
	어학 자격 능력	오픽
	어학 자격 능력	토플
	어학 자격 능력	HSK
	기술 분야	손뜨개전문가
	기술 분야	청소 전문가
	기술 분야	반려동물장례지도사
	기술 분야	베이비시터
	기술 분야	전기 기사
	기술 분야	컬러리스트 기사
	기술 분야	미용사(네일)
직무 관련 역량 개발	직무별 프로그램 학습	AI 프롬프트 학습
	직무별 프로그램 학습	작업용 프로그램 학습
	커리어 전환 준비	포트폴리오 제작
	커리어 전환 준비	이력서 관리
	커리어 전환 준비	자격증 취득
	커리어 전환 준비	어학 공부
	자격증	직무 전문 분야 자격증
	자격증	어학
	업무 능력 향상	업무 효율 높이기 (우선순위/시간관리)
	업무 능력 향상	커뮤니케이션·협업 능력 키우기
	업무 능력 향상	문제 해결능력 향상
	업무 능력 향상	문서·기획·정리 스킬 향상(PPT·보고서)
	업무 능력 향상	직접 입력하기
